"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"10.01.2021","38.194,7","40.177,9","40.971,8","36.601,5","118,21K","-4,73%"
"09.01.2021","40.092,0","40.635,8","40.819,9","38.957,6","75,79K","-1,20%"
"08.01.2021","40.579,8","39.542,0","41.297,5","38.123,3","139,78K","2,90%"
"07.01.2021","39.436,0","36.870,9","39.761,9","36.870,9","132,83K","7,31%"
"06.01.2021","36.748,4","34.016,2","36.748,4","34.010,4","127,14K","8,21%"
"05.01.2021","33.958,7","32.046,7","34.233,6","31.027,0","116,06K","6,09%"
"04.01.2021","32.009,3","33.013,3","33.251,6","30.945,7","140,90K","-2,83%"
"03.01.2021","32.942,1","32.227,8","34.194,0","32.080,0","120,95K","2,37%"
"02.01.2021","32.178,1","29.301,9","32.916,0","29.301,9","129,98K","9,71%"
"01.01.2021","29.329,7","28.915,4","29.474,2","28.915,0","54,18K","1,36%"
"31.12.2020","28.935,2","28.879,4","29.038,0","28.145,2","75,49K","0,29%"
"30.12.2020","28.852,3","27.418,7","28.852,3","27.418,7","95,38K","5,36%"
"29.12.2020","27.385,1","27.079,4","27.385,1","26.202,0","69,41K","1,17%"
"28.12.2020","27.068,4","26.294,0","27.211,9","26.294,0","79,74K","3,04%"
"27.12.2020","26.270,8","26.491,3","28.203,8","26.239,6","148,46K","-0,72%"
"26.12.2020","26.460,7","24.715,2","26.460,7","24.715,2","97,84K","7,11%"
"25.12.2020","24.703,5","23.768,5","24.703,5","23.541,1","79,52K","4,11%"
"24.12.2020","23.729,2","23.222,4","23.729,2","22.785,2","69,02K","1,99%"
"23.12.2020","23.266,1","23.810,8","24.009,0","23.266,1","119,08K","-2,33%"
"22.12.2020","23.820,3","22.720,0","23.820,3","22.624,8","87,08K","4,76%"
"21.12.2020","22.737,0","23.454,9","23.813,9","22.265,6","87,93K","-3,16%"
"20.12.2020","23.479,6","23.820,5","24.176,9","23.462,3","76,68K","-1,53%"
"19.12.2020","23.844,8","23.126,5","23.879,4","22.935,4","86,04K","3,12%"
"18.12.2020","23.122,6","22.831,7","23.122,6","22.551,6","79,67K","1,32%"
"17.12.2020","22.821,2","21.337,1","23.616,7","21.337,1","184,86K","6,89%"
"16.12.2020","21.349,3","19.428,6","21.349,3","19.380,1","114,29K","9,88%"
"15.12.2020","19.429,5","19.279,6","19.479,6","19.103,4","61,83K","0,81%"
"14.12.2020","19.273,1","19.166,3","19.273,1","19.103,8","47,27K","0,48%"
"13.12.2020","19.180,1","18.807,6","19.343,5","18.779,2","56,55K","1,99%"
"12.12.2020","18.806,5","18.050,7","18.806,5","18.050,7","49,52K","4,36%"
"11.12.2020","18.020,8","18.274,4","18.274,4","17.788,0","72,61K","-1,23%"
"10.12.2020","18.244,9","18.549,9","18.549,9","18.158,8","52,88K","-1,61%"
"09.12.2020","18.542,5","18.277,2","18.608,4","17.985,8","79,59K","1,17%"
"08.12.2020","18.327,4","19.175,9","19.200,9","18.327,4","61,62K","-4,37%"
"07.12.2020","19.165,5","19.391,3","19.391,3","19.091,9","41,42K","-1,00%"
"06.12.2020","19.359,4","19.147,7","19.359,4","18.924,1","37,04K","1,14%"
"05.12.2020","19.142,0","18.666,3","19.142,0","18.666,3","42,91K","2,61%"
"04.12.2020","18.655,0","19.405,7","19.405,7","18.655,0","71,28K","-3,96%"
"03.12.2020","19.425,0","19.219,0","19.425,2","18.975,6","66,69K","1,08%"
"02.12.2020","19.216,7","18.756,9","19.216,7","18.606,1","75,92K","2,44%"
"01.12.2020","18.758,5","19.694,7","19.837,4","18.758,5","127,71K","-4,75%"
"30.11.2020","19.694,4","18.202,7","19.694,4","18.202,7","115,43K","8,32%"
"29.11.2020","18.181,7","17.720,4","18.181,7","17.628,0","55,32K","2,57%"
"28.11.2020","17.725,9","17.140,0","17.788,1","16.932,3","64,91K","3,45%"
"27.11.2020","17.134,7","17.157,1","17.392,4","16.745,7","85,30K","-0,07%"
"26.11.2020","17.147,5","18.700,2","18.812,2","16.668,3","181,04K","-8,40%"
"25.11.2020","18.720,7","19.150,0","19.272,4","18.720,7","93,25K","-2,23%"
"24.11.2020","19.148,3","18.358,2","19.390,8","18.315,8","113,58K","4,21%"
"23.11.2020","18.375,5","18.449,3","18.654,0","18.251,0","82,99K","-0,27%"
"22.11.2020","18.425,3","18.707,9","18.707,9","18.095,4","81,64K","-1,37%"
"21.11.2020","18.681,5","18.661,6","18.880,0","18.621,1","75,47K","0,05%"
"20.11.2020","18.671,6","17.800,0","18.799,5","17.800,0","88,44K","4,93%"
"19.11.2020","17.795,0","17.780,1","17.987,8","17.480,8","93,02K","0,14%"
"18.11.2020","17.769,8","17.647,8","18.276,6","17.641,6","149,01K","0,66%"
"17.11.2020","17.653,4","16.707,3","17.653,4","16.624,6","115,23K","5,62%"
"16.11.2020","16.714,0","15.948,9","16.766,0","15.948,9","81,30K","4,79%"
"15.11.2020","15.949,4","16.073,9","16.078,3","15.800,0","43,59K","-0,74%"
"14.11.2020","16.068,9","16.319,7","16.319,7","15.880,7","59,15K","-1,54%"
"13.11.2020","16.320,0","16.300,1","16.415,0","16.147,7","75,68K","0,19%"
"12.11.2020","16.288,3","15.686,7","16.288,3","15.581,0","102,20K","3,81%"
"11.11.2020","15.690,0","15.311,8","15.867,4","15.311,8","78,45K","2,57%"
"10.11.2020","15.297,2","15.329,3","15.346,7","15.235,3","61,68K","-0,18%"
"09.11.2020","15.324,5","15.483,8","15.608,5","15.208,8","108,98K","-1,02%"
"08.11.2020","15.481,8","14.801,9","15.518,4","14.801,9","65,57K","4,46%"
"07.11.2020","14.821,1","15.566,0","15.590,0","14.820,7","101,41K","-4,81%"
"06.11.2020","15.570,3","15.592,2","15.824,8","15.472,0","122,63K","-0,06%"
"05.11.2020","15.579,1","14.147,7","15.579,1","14.106,8","143,77K","10,19%"
"04.11.2020","14.138,0","14.023,7","14.148,7","13.679,2","93,01K","0,85%"
"03.11.2020","14.018,4","13.558,8","14.030,3","13.413,9","74,10K","3,39%"
"02.11.2020","13.558,7","13.765,7","13.765,7","13.420,6","64,56K","-1,45%"
"01.11.2020","13.758,1","13.764,7","13.811,7","13.705,4","36,29K","-0,26%"
"31.10.2020","13.794,5","13.563,8","13.880,0","13.506,7","67,34K","1,76%"
"30.10.2020","13.556,1","13.452,6","13.556,1","13.193,1","70,66K","0,75%"
"29.10.2020","13.455,2","13.264,9","13.549,9","13.104,9","74,88K","1,34%"
"28.10.2020","13.277,3","13.639,8","13.785,3","13.104,8","94,45K","-2,62%"
"27.10.2020","13.635,0","13.051,7","13.648,0","13.051,7","80,80K","4,42%"
"26.10.2020","13.058,3","13.032,5","13.179,8","12.865,2","60,96K","0,23%"
"25.10.2020","13.028,5","13.103,4","13.127,3","12.972,0","38,48K","-0,65%"
"24.10.2020","13.113,2","12.929,7","13.114,6","12.929,7","35,95K","1,40%"
"23.10.2020","12.931,6","12.968,5","12.985,0","12.835,9","50,39K","-0,26%"
"22.10.2020","12.964,8","12.791,3","13.120,2","12.727,0","70,07K","1,28%"
"21.10.2020","12.800,6","11.909,4","12.881,4","11.909,4","114,55K","7,49%"
"20.10.2020","11.908,8","11.751,2","11.961,7","11.711,5","62,15K","1,34%"
"19.10.2020","11.751,0","11.509,0","11.766,4","11.437,5","47,64K","2,14%"
"18.10.2020","11.504,6","11.359,3","11.504,6","11.354,7","23,27K","1,27%"
"17.10.2020","11.360,3","11.325,8","11.360,3","11.325,8","22,38K","0,36%"
"16.10.2020","11.319,7","11.505,2","11.533,8","11.308,2","48,80K","-1,57%"
"15.10.2020","11.500,8","11.425,0","11.518,7","11.332,0","48,74K","0,73%"
"14.10.2020","11.417,8","11.425,5","11.442,4","11.307,3","41,42K","-0,02%"
"13.10.2020","11.420,6","11.531,3","11.531,3","11.371,2","42,21K","-0,94%"
"12.10.2020","11.529,0","11.365,5","11.574,9","11.243,2","52,83K","1,41%"
"11.10.2020","11.369,0","11.291,6","11.409,2","11.291,6","29,04K","0,67%"
"10.10.2020","11.293,2","11.051,3","11.386,6","11.051,3","43,65K","2,18%"
"09.10.2020","11.052,4","10.927,5","11.074,2","10.870,1","48,26K","1,21%"
"08.10.2020","10.920,6","10.667,3","10.920,8","10.568,3","51,95K","2,34%"
"07.10.2020","10.670,5","10.600,2","10.670,5","10.594,6","32,80K","0,65%"
"06.10.2020","10.602,1","10.797,9","10.797,9","10.592,2","48,68K","-1,71%"
"05.10.2020","10.787,0","10.663,1","10.787,0","10.663,1","34,02K","1,07%"
"04.10.2020","10.672,5","10.536,4","10.672,5","10.536,4","23,20K","1,24%"
"03.10.2020","10.542,1","10.572,0","10.577,0","10.528,0","22,30K","-0,26%"
"02.10.2020","10.569,9","10.603,3","10.605,4","10.450,0","50,14K","-0,47%"
"01.10.2020","10.619,7","10.780,6","10.898,8","10.619,7","60,87K","-1,44%"
"30.09.2020","10.774,8","10.843,8","10.843,8","10.711,7","39,60K","-0,61%"
"29.09.2020","10.840,6","10.669,7","10.840,6","10.652,6","41,90K","1,39%"
"28.09.2020","10.692,2","10.787,8","10.923,5","10.692,2","50,08K","-0,76%"
"27.09.2020","10.774,3","10.727,2","10.774,3","10.638,2","30,55K","0,44%"
"26.09.2020","10.726,6","10.695,7","10.742,3","10.672,0","28,41K","0,37%"
"25.09.2020","10.686,8","10.737,1","10.737,1","10.582,3","48,12K","-0,48%"
"24.09.2020","10.738,6","10.241,6","10.745,8","10.241,6","57,68K","4,90%"
"23.09.2020","10.237,1","10.533,1","10.533,1","10.228,5","51,86K","-2,78%"
"22.09.2020","10.530,3","10.419,9","10.530,3","10.419,9","43,99K","1,08%"
"21.09.2020","10.417,3","10.912,0","10.980,0","10.396,4","70,65K","-4,59%"
"20.09.2020","10.918,9","11.074,3","11.074,3","10.841,7","39,16K","-1,46%"
"19.09.2020","11.081,0","10.935,1","11.081,0","10.896,3","38,45K","1,36%"
"18.09.2020","10.932,2","10.943,4","10.981,4","10.849,9","47,26K","-0,07%"
"17.09.2020","10.940,0","10.951,9","10.951,9","10.816,6","55,60K","-0,07%"
"16.09.2020","10.947,8","10.788,4","11.031,9","10.712,1","64,99K","1,51%"
"15.09.2020","10.784,9","10.666,6","10.870,9","10.643,9","61,82K","1,04%"
"14.09.2020","10.673,7","10.332,0","10.717,6","10.272,0","67,08K","3,40%"
"13.09.2020","10.322,8","10.437,2","10.572,0","10.267,4","43,82K","-1,12%"
"12.09.2020","10.439,7","10.387,1","10.469,8","10.323,0","35,37K","0,50%"
"11.09.2020","10.387,9","10.347,5","10.387,9","10.247,1","43,83K","0,49%"
"10.09.2020","10.336,9","10.218,2","10.382,0","10.218,2","58,25K","1,12%"
"09.09.2020","10.222,5","10.125,1","10.324,1","9.995,0","49,35K","0,96%"
"08.09.2020","10.125,4","10.383,7","10.383,7","9.985,0","73,52K","-2,38%"
"07.09.2020","10.372,0","10.241,5","10.372,0","9.930,0","62,56K","1,18%"
"06.09.2020","10.251,1","10.155,7","10.273,1","10.123,0","56,38K","0,88%"
"05.09.2020","10.161,6","10.445,5","10.465,0","10.059,8","90,00K","-2,76%"
"04.09.2020","10.450,4","10.188,5","10.543,4","10.188,5","92,84K","2,98%"
"03.09.2020","10.147,5","11.381,2","11.404,4","10.147,5","121,95K","-10,90%"
"02.09.2020","11.388,9","11.916,0","11.916,0","11.298,0","87,23K","-4,48%"
"01.09.2020","11.922,5","11.663,5","11.966,2","11.617,8","78,12K","2,34%"
"31.08.2020","11.649,5","11.721,8","11.728,5","11.614,2","55,36K","-0,59%"
"30.08.2020","11.718,9","11.465,6","11.718,9","11.465,6","43,15K","2,20%"
"29.08.2020","11.466,1","11.531,2","11.543,0","11.466,1","32,97K","-0,50%"
"28.08.2020","11.523,9","11.341,8","11.523,9","11.341,8","45,97K","1,75%"
"27.08.2020","11.325,4","11.457,7","11.457,7","11.239,0","63,25K","-1,15%"
"26.08.2020","11.456,8","11.317,6","11.466,8","11.272,5","54,04K","1,17%"
"25.08.2020","11.324,4","11.754,3","11.754,3","11.192,0","69,56K","-3,63%"
"24.08.2020","11.751,5","11.648,1","11.791,0","11.617,3","46,20K","0,90%"
"23.08.2020","11.646,7","11.668,6","11.679,0","11.528,2","37,90K","-0,14%"
"22.08.2020","11.663,3","11.526,8","11.669,7","11.436,0","43,68K","1,16%"
"21.08.2020","11.529,4","11.853,0","11.872,2","11.529,4","64,45K","-2,75%"
"20.08.2020","11.855,8","11.754,5","11.876,3","11.702,0","46,12K","0,94%"
"19.08.2020","11.745,2","11.945,1","11.945,1","11.675,0","73,93K","-1,83%"
"18.08.2020","11.964,7","12.283,4","12.346,5","11.963,6","75,90K","-2,53%"
"17.08.2020","12.275,5","11.916,5","12.393,0","11.832,4","84,72K","3,06%"
"16.08.2020","11.910,7","11.849,1","11.910,7","11.800,0","41,39K","0,50%"
"15.08.2020","11.851,3","11.764,1","11.913,4","11.764,1","56,22K","0,78%"
"14.08.2020","11.760,0","11.799,0","11.799,0","11.671,8","59,84K","-0,13%"
"13.08.2020","11.775,2","11.558,9","11.775,2","11.389,0","70,11K","1,82%"
"12.08.2020","11.564,3","11.393,2","11.583,7","11.343,1","64,92K","1,49%"
"11.08.2020","11.394,9","11.888,8","11.888,8","11.338,5","90,75K","-4,17%"
"10.08.2020","11.891,3","11.686,6","12.000,8","11.686,6","84,95K","1,79%"
"09.08.2020","11.682,1","11.769,4","11.769,4","11.570,8","41,49K","-0,74%"
"08.08.2020","11.769,1","11.588,0","11.776,3","11.582,3","41,85K","1,53%"
"07.08.2020","11.592,0","11.762,1","11.874,2","11.538,3","65,76K","-1,44%"
"06.08.2020","11.761,6","11.744,9","11.866,5","11.649,7","63,54K","0,16%"
"05.08.2020","11.743,3","11.198,3","11.743,3","11.178,5","74,95K","4,95%"
"04.08.2020","11.189,5","11.226,3","11.360,2","11.117,1","58,64K","-0,30%"
"03.08.2020","11.223,1","11.071,4","11.414,1","11.071,4","56,93K","1,33%"
"02.08.2020","11.076,3","11.800,6","11.926,2","11.076,3","97,57K","-6,21%"
"01.08.2020","11.810,0","11.333,8","11.810,0","11.324,6","85,05K","4,17%"
"31.07.2020","11.337,4","11.098,9","11.365,2","11.012,3","70,07K","2,16%"
"30.07.2020","11.097,8","10.984,6","11.123,5","10.936,6","60,80K","-0,02%"
"29.07.2020","11.100,0","10.914,5","11.250,5","10.914,5","76,35K","1,72%"
"28.07.2020","10.912,4","11.087,8","11.087,8","10.766,0","97,26K","-0,98%"
"27.07.2020","11.020,0","9.932,6","11.024,4","9.932,6","150,18K","10,98%"
"26.07.2020","9.929,5","9.700,4","9.945,0","9.668,5","65,28K","2,37%"
"25.07.2020","9.700,0","9.538,8","9.700,0","9.538,8","40,67K","1,68%"
"24.07.2020","9.539,3","9.603,2","9.603,2","9.517,8","43,95K","-0,69%"
"23.07.2020","9.605,8","9.523,0","9.605,8","9.477,0","51,86K","0,83%"
"22.07.2020","9.526,5","9.388,0","9.526,5","9.327,2","48,78K","1,49%"
"21.07.2020","9.386,5","9.158,0","9.402,8","9.158,0","60,40K","2,46%"
"20.07.2020","9.160,8","9.218,6","9.218,6","9.155,0","35,46K","-0,51%"
"19.07.2020","9.207,8","9.169,8","9.207,8","9.128,7","26,05K","0,41%"
"18.07.2020","9.169,9","9.153,1","9.186,8","9.133,4","22,55K","0,16%"
"17.07.2020","9.154,8","9.135,3","9.161,1","9.121,7","28,06K","0,22%"
"16.07.2020","9.134,5","9.202,6","9.210,0","9.086,4","43,38K","-0,68%"
"15.07.2020","9.197,0","9.255,6","9.255,6","9.197,0","39,05K","-0,61%"
"14.07.2020","9.253,6","9.236,0","9.264,8","9.181,4","45,78K","0,12%"
"13.07.2020","9.242,5","9.312,4","9.314,6","9.242,5","42,77K","-0,66%"
"12.07.2020","9.304,2","9.235,0","9.304,2","9.218,1","30,83K","0,76%"
"11.07.2020","9.234,0","9.295,0","9.295,0","9.202,0","22,56K","-0,56%"
"10.07.2020","9.286,0","9.232,4","9.286,0","9.158,7","38,30K","0,57%"
"09.07.2020","9.233,4","9.431,3","9.431,3","9.219,3","48,04K","-2,16%"
"08.07.2020","9.436,9","9.263,1","9.440,2","9.251,3","56,14K","1,93%"
"07.07.2020","9.258,0","9.336,0","9.336,0","9.246,3","34,61K","-0,89%"
"06.07.2020","9.340,8","9.076,6","9.340,8","9.076,6","54,64K","2,82%"
"05.07.2020","9.084,3","9.134,2","9.142,1","9.005,0","33,90K","-0,59%"
"04.07.2020","9.138,1","9.053,1","9.187,8","9.047,8","26,42K","0,85%"
"03.07.2020","9.061,4","9.086,5","9.122,9","9.038,0","28,97K","-0,27%"
"02.07.2020","9.085,7","9.231,4","9.259,2","8.959,0","45,70K","-1,58%"
"01.07.2020","9.232,0","9.136,7","9.290,4","9.099,3","38,49K","1,05%"
"30.06.2020","9.136,0","9.191,0","9.201,5","9.072,2","31,47K","-0,56%"
"29.06.2020","9.187,1","9.124,8","9.236,1","9.027,9","42,60K","0,85%"
"28.06.2020","9.110,0","9.007,0","9.188,0","8.949,3","30,57K","1,09%"
"27.06.2020","9.012,0","9.168,2","9.196,0","8.856,5","46,29K","-1,64%"
"26.06.2020","9.162,1","9.244,5","9.295,5","9.058,4","50,29K","-0,95%"
"25.06.2020","9.250,3","9.294,1","9.328,8","9.026,0","55,98K","-0,56%"
"24.06.2020","9.302,3","9.622,7","9.667,9","9.223,8","61,56K","-3,35%"
"23.06.2020","9.625,0","9.687,7","9.718,7","9.582,3","41,02K","-0,63%"
"22.06.2020","9.685,5","9.294,7","9.756,2","9.284,7","57,89K","4,20%"
"21.06.2020","9.294,8","9.361,2","9.416,0","9.288,0","24,35K","-0,68%"
"20.06.2020","9.358,5","9.306,0","9.394,0","9.185,9","30,33K","0,52%"
"19.06.2020","9.310,2","9.376,6","9.424,0","9.244,8","45,33K","-0,81%"
"18.06.2020","9.385,8","9.470,0","9.478,3","9.287,7","37,39K","-0,83%"
"17.06.2020","9.464,1","9.532,8","9.549,0","9.269,3","48,04K","-0,65%"
"16.06.2020","9.525,8","9.432,3","9.585,0","9.375,0","52,06K","1,07%"
"15.06.2020","9.425,0","9.337,5","9.494,5","8.932,4","86,12K","0,90%"
"14.06.2020","9.340,9","9.475,7","9.475,7","9.261,3","30,06K","-1,38%"
"13.06.2020","9.471,5","9.467,8","9.492,4","9.365,9","27,73K","0,07%"
"12.06.2020","9.465,0","9.272,5","9.545,5","9.249,4","50,25K","2,04%"
"11.06.2020","9.275,7","9.891,2","9.948,5","9.188,0","94,38K","-6,15%"
"10.06.2020","9.884,1","9.769,9","9.977,9","9.706,2","47,13K","1,17%"
"09.06.2020","9.770,2","9.821,6","9.872,0","9.632,0","46,02K","-0,10%"
"08.06.2020","9.780,3","9.754,3","9.790,3","9.641,0","40,66K","0,35%"
"07.06.2020","9.745,8","9.667,6","9.784,3","9.427,9","57,94K","0,79%"
"06.06.2020","9.669,7","9.578,3","9.732,0","9.541,9","32,76K","0,44%"
"05.06.2020","9.627,3","9.797,4","9.850,0","9.590,0","47,78K","-1,70%"
"04.06.2020","9.793,6","9.667,8","9.872,9","9.477,2","57,46K","1,41%"
"03.06.2020","9.657,8","9.515,9","9.666,0","9.428,1","46,24K","1,37%"
"02.06.2020","9.527,1","10.223,9","10.223,9","9.351,8","109,05K","-6,51%"
"01.06.2020","10.190,0","9.449,3","10.350,0","9.432,3","76,45K","7,70%"
"31.05.2020","9.461,2","9.699,9","9.699,9","9.400,2","48,32K","-2,41%"
"30.05.2020","9.695,0","9.432,1","9.733,7","9.353,2","55,65K","2,86%"
"29.05.2020","9.425,2","9.591,1","9.601,1","9.355,2","57,38K","-1,47%"
"28.05.2020","9.565,3","9.205,0","9.610,9","9.119,0","74,12K","4,00%"
"27.05.2020","9.197,0","8.837,0","9.217,4","8.818,8","68,81K","4,00%"
"26.05.2020","8.843,0","8.902,5","9.002,0","8.700,1","58,31K","-0,64%"
"25.05.2020","8.900,2","8.687,2","8.963,4","8.673,2","62,97K","2,18%"
"24.05.2020","8.710,5","9.170,0","9.296,5","8.710,5","70,37K","-5,11%"
"23.05.2020","9.179,8","9.174,1","9.303,3","9.085,0","43,52K","0,12%"
"22.05.2020","9.169,0","9.066,0","9.257,9","8.952,7","58,99K","1,47%"
"21.05.2020","9.036,6","9.501,7","9.568,7","8.823,4","108,77K","-4,99%"
"20.05.2020","9.511,4","9.780,5","9.840,1","9.369,9","74,92K","-2,69%"
"19.05.2020","9.774,0","9.735,0","9.889,8","9.488,2","78,53K","0,46%"
"18.05.2020","9.729,4","9.704,6","9.950,0","9.529,1","82,01K","0,51%"
"17.05.2020","9.680,0","9.356,7","9.875,7","9.335,0","68,65K","3,17%"
"16.05.2020","9.382,7","9.332,9","9.576,3","9.228,9","59,59K","0,70%"
"15.05.2020","9.317,5","9.789,7","9.835,8","9.155,0","115,89K","-4,80%"
"14.05.2020","9.787,7","9.323,0","9.926,0","9.267,1","129,57K","5,17%"
"13.05.2020","9.306,6","8.794,2","9.390,9","8.794,2","92,47K","5,60%"
"12.05.2020","8.813,0","8.560,0","8.968,4","8.546,8","86,57K","2,42%"
"11.05.2020","8.605,0","8.744,7","9.148,0","8.243,3","168,75K","-1,60%"
"10.05.2020","8.745,0","9.546,5","9.549,9","8.164,2","183,80K","-8,40%"
"09.05.2020","9.546,7","9.790,4","9.913,7","9.530,6","81,94K","-2,63%"
"08.05.2020","9.804,8","10.000,0","10.028,5","9.725,0","100,68K","-1,76%"
"07.05.2020","9.980,8","9.123,5","10.060,0","9.046,9","147,26K","9,12%"
"06.05.2020","9.147,0","9.025,9","9.385,0","8.926,9","105,82K","1,37%"
"05.05.2020","9.023,5","8.885,0","9.100,7","8.770,0","76,50K","1,67%"
"04.05.2020","8.875,3","8.901,8","8.948,6","8.529,3","84,41K","-0,19%"
"03.05.2020","8.892,6","8.973,3","9.190,9","8.727,0","90,11K","-0,87%"
"02.05.2020","8.971,0","8.809,0","9.006,9","8.769,2","59,02K","1,63%"
"01.05.2020","8.827,3","8.618,9","9.049,4","8.618,9","91,46K","2,19%"
"30.04.2020","8.638,1","8.781,9","9.450,6","8.417,3","206,28K","-1,61%"
"29.04.2020","8.779,1","7.749,8","8.950,0","7.731,6","183,51K","13,30%"
"28.04.2020","7.748,6","7.777,9","7.777,9","7.663,9","46,31K","-0,32%"
"27.04.2020","7.773,8","7.723,0","7.773,8","7.626,5","65,43K","1,06%"
"26.04.2020","7.692,2","7.527,1","7.692,2","7.524,4","50,52K","2,03%"
"25.04.2020","7.539,4","7.505,0","7.674,3","7.453,9","43,87K","0,46%"
"24.04.2020","7.505,0","7.472,7","7.601,6","7.417,9","60,18K","0,29%"
"23.04.2020","7.483,6","7.125,1","7.695,0","7.034,9","102,77K","5,04%"
"22.04.2020","7.124,4","6.836,6","7.147,5","6.820,4","61,43K","4,13%"
"21.04.2020","6.842,0","6.821,4","6.931,3","6.771,4","60,11K","0,14%"
"20.04.2020","6.832,1","7.122,3","7.206,1","6.767,2","90,15K","-4,07%"
"19.04.2020","7.122,0","7.250,4","7.260,2","7.062,2","45,65K","-1,75%"
"18.04.2020","7.248,9","7.014,4","7.281,0","7.014,4","49,52K","3,18%"
"17.04.2020","7.025,5","7.106,3","7.142,5","6.994,3","54,10K","-1,10%"
"16.04.2020","7.103,8","6.616,2","7.172,0","6.494,3","125,01K","7,26%"
"15.04.2020","6.622,9","6.858,6","6.927,8","6.612,1","61,56K","-3,57%"
"14.04.2020","6.867,9","6.846,1","6.967,2","6.765,4","69,06K","0,40%"
"13.04.2020","6.840,5","6.853,8","6.882,0","6.610,6","96,47K","-0,85%"
"12.04.2020","6.899,2","6.877,2","7.171,7","6.780,3","73,84K","0,31%"
"11.04.2020","6.877,6","6.877,2","6.936,0","6.765,4","45,49K","0,25%"
"10.04.2020","6.860,2","7.287,6","7.292,8","6.751,5","104,67K","-5,83%"
"09.04.2020","7.284,9","7.336,0","7.368,0","7.140,9","61,10K","-1,01%"
"08.04.2020","7.359,5","7.200,0","7.413,8","7.157,7","76,05K","2,19%"
"07.04.2020","7.202,0","7.313,3","7.445,7","7.093,0","103,68K","-1,80%"
"06.04.2020","7.333,8","6.771,5","7.333,8","6.769,3","118,02K","8,29%"
"05.04.2020","6.772,2","6.889,6","6.889,6","6.684,8","49,68K","-1,23%"
"04.04.2020","6.856,8","6.722,5","6.982,9","6.658,2","72,99K","1,90%"
"03.04.2020","6.729,0","6.792,4","7.033,1","6.616,0","104,08K","-1,14%"
"02.04.2020","6.806,4","6.699,6","7.154,6","6.562,3","149,40K","2,51%"
"01.04.2020","6.639,9","6.423,1","6.669,8","6.153,7","97,49K","3,57%"
"31.03.2020","6.410,8","6.384,0","6.515,3","6.341,3","72,36K","0,26%"
"30.03.2020","6.394,4","5.892,3","6.560,0","5.866,0","118,88K","8,71%"
"29.03.2020","5.882,2","6.242,0","6.261,0","5.877,5","63,29K","-5,81%"
"28.03.2020","6.245,3","6.297,5","6.322,7","6.051,4","93,19K","-1,80%"
"27.03.2020","6.359,7","6.745,4","6.831,7","6.299,7","82,92K","-5,61%"
"26.03.2020","6.737,4","6.687,5","6.775,7","6.534,7","83,03K","0,86%"
"25.03.2020","6.679,7","6.734,0","6.938,5","6.470,1","132,14K","-1,01%"
"24.03.2020","6.747,7","6.466,6","6.827,7","6.388,2","151,19K","4,10%"
"23.03.2020","6.482,1","5.803,4","6.566,2","5.694,9","164,68K","11,42%"
"22.03.2020","5.817,9","6.179,1","6.404,0","5.747,9","119,09K","-6,01%"
"21.03.2020","6.190,0","6.213,3","6.443,5","5.890,5","128,96K","-0,30%"
"20.03.2020","6.208,4","6.165,6","6.898,0","5.757,0","219,27K","0,65%"
"19.03.2020","6.168,5","5.406,4","6.389,1","5.264,8","199,05K","14,32%"
"18.03.2020","5.395,9","5.325,2","5.426,4","5.012,9","137,13K","1,21%"
"17.03.2020","5.331,6","5.085,0","5.510,0","4.945,1","150,05K","6,11%"
"16.03.2020","5.024,4","5.360,2","5.363,0","4.468,1","227,30K","-6,34%"
"15.03.2020","5.364,5","5.174,7","5.901,3","5.110,0","139,95K","3,62%"
"14.03.2020","5.177,1","5.534,7","5.629,5","5.061,9","136,89K","-7,23%"
"13.03.2020","5.580,8","4.846,5","5.886,6","3.783,5","402,34K","14,87%"
"12.03.2020","4.858,4","7.944,6","7.961,5","4.510,0","260,61K","-38,76%"
"11.03.2020","7.932,8","7.886,2","7.973,3","7.599,1","79,95K","0,59%"
"10.03.2020","7.886,4","7.930,5","8.145,8","7.758,5","86,79K","-0,61%"
"09.03.2020","7.934,9","8.037,0","8.152,6","7.649,4","117,00K","-1,18%"
"08.03.2020","8.029,6","8.885,0","8.885,0","8.009,6","77,53K","-9,64%"
"07.03.2020","8.885,9","9.134,5","9.167,5","8.846,5","45,43K","-2,71%"
"06.03.2020","9.133,6","9.044,2","9.165,0","8.992,8","43,79K","0,81%"
"05.03.2020","9.060,0","8.757,7","9.153,0","8.757,7","58,20K","3,50%"
"04.03.2020","8.753,3","8.766,8","8.844,7","8.674,2","38,69K","-0,08%"
"03.03.2020","8.760,4","8.912,3","8.912,8","8.667,0","55,17K","-1,70%"
"02.03.2020","8.911,4","8.530,5","8.964,8","8.499,9","60,40K","4,32%"
"01.03.2020","8.542,3","8.553,7","8.742,7","8.432,2","43,93K","0,21%"
"29.02.2020","8.524,1","8.699,8","8.790,0","8.524,1","36,75K","-1,92%"
"28.02.2020","8.690,8","8.823,5","8.898,6","8.456,3","71,16K","-1,44%"
"27.02.2020","8.818,0","8.784,8","8.969,6","8.535,0","72,41K","0,32%"
"26.02.2020","8.790,1","9.314,1","9.377,1","8.666,0","92,14K","-5,69%"
"25.02.2020","9.320,0","9.655,0","9.670,6","9.255,7","54,37K","-3,51%"
